date,positive,death,positiveIncrease,deathIncrease,positiveIncrease,deathIncrease
2020-06-14,5811,147,121,1,121,1
2020-06-15,5890,147,79,0,79,0
2020-06-16,5951,147,61,0,61,0
2020-06-17,6003,147,52,0,52,0
2020-06-18,6111,147,108,0,108,0
2020-06-19,6195,147,84,0,84,0
2020-06-20,6463,147,268,0,268,0
2020-06-21,6525,149,62,2,62,2
2020-06-22,6564,149,39,0,39,0
2020-06-23,6685,149,121,0,121,0
2020-06-24,6820,149,135,0,135,0
2020-06-25,6877,151,57,2,57,2
2020-06-26,6922,151,45,0,45,0
2020-06-27,7066,152,144,1,144,1
2020-06-28,7189,153,123,1,123,1
2020-06-29,7250,153,61,0,61,0
2020-06-30,7465,153,215,0,215,0
2020-07-01,7537,153,72,0,72,0
2020-07-02,7608,153,71,0,71,0
2020-07-03,7683,154,75,1,75,1
2020-07-04,7787,155,104,1,104,1
2020-07-05,7916,155,129,0,129,0
2020-07-06,8585,155,669,0,669,0
2020-07-07,8714,157,129,2,129,2
2020-07-08,8745,159,31,2,31,2
2020-07-09,8862,159,117,0,117,0
2020-07-10,9137,159,275,0,275,0
2020-07-11,9366,167,229,8,229,8
2020-07-12,9654,167,288,0,288,0
2020-07-13,10010,167,356,0,356,0
2020-07-14,10123,169,113,2,113,2
2020-07-15,10379,171,256,2,256,2
2020-07-16,10574,172,195,1,195,1
2020-07-17,11120,177,546,5,546,5
2020-07-18,11453,178,333,1,333,1
2020-07-19,12063,178,610,0,610,0
2020-07-20,12461,180,398,2,398,2
2020-07-21,12940,180,479,0,479,0
2020-07-22,13038,185,98,5,98,5
2020-07-23,13473,188,435,3,435,3
2020-07-24,13967,191,494,3,494,3
2020-07-25,14540,201,573,10,573,10
2020-07-26,15143,201,603,0,603,0
2020-07-27,15431,201,288,0,288,0
2020-07-28,15840,209,409,8,409,8
2020-07-29,16061,211,221,2,221,2
2020-07-30,16572,214,511,3,511,3
2020-07-31,16781,219,209,5,209,5
2020-08-01,17872,225,1091,6,1091,6
2020-08-02,18411,230,539,5,539,5
2020-08-03,18791,230,380,0,380,0
2020-08-04,19324,237,533,7,533,7
2020-08-05,19651,246,327,9,327,9
2020-08-06,19934,258,283,12,283,12
2020-08-07,20686,265,752,7,752,7
2020-08-08,21424,274,738,9,738,9
2020-08-09,22121,279,697,5,697,5
2020-08-10,22821,279,700,0,700,0
2020-08-11,23403,287,582,8,582,8
2020-08-12,24074,295,671,8,671,8
2020-08-13,24446,306,372,11,372,11
2020-08-14,25128,317,682,11,682,11
2020-08-15,25695,329,567,12,567,12
2020-08-16,26006,335,311,6,311,6
2020-08-17,26760,335,754,0,754,0
2020-08-18,27713,346,953,11,953,11
2020-08-19,27934,356,221,10,221,10
2020-08-20,28143,367,209,11,209,11
2020-08-21,28846,374,703,7,703,7
2020-08-22,29577,381,731,7,731,7
2020-08-23,29896,390,319,9,319,9
2020-08-24,30618,390,722,0,722,0
2020-08-25,30720,395,102,5,102,5
2020-08-26,30744,404,24,9,24,9
2020-08-27,31383,412,639,8,639,8
2020-08-28,31988,424,605,12,605,12
2020-08-29,32550,428,562,4,562,4
2020-08-30,32848,434,298,6,298,6
2020-08-31,33199,434,351,0,351,0
2020-09-01,33421,435,222,1,222,1
2020-09-02,34003,443,582,8,582,8
2020-09-03,34198,448,195,5,195,5
2020-09-04,34241,455,43,7,43,7
2020-09-05,34492,464,251,9,251,9
2020-09-06,34533,477,41,13,41,13
2020-09-07,35375,477,842,0,842,0
2020-09-08,35504,482,129,5,129,5
2020-09-09,35507,500,3,18,3,18
2020-09-10,36279,512,772,12,772,12
2020-09-11,36581,523,302,11,302,11
2020-09-12,37092,535,511,12,511,12
2020-09-13,37380,539,288,4,288,4
2020-09-14,37750,542,370,3,370,3
2020-09-15,38172,551,422,9,422,9
2020-09-16,38284,570,112,19,112,19
2020-09-17,38867,588,583,18,583,18
2020-09-18,39684,599,817,11,817,11
2020-09-19,40993,605,1309,6,1309,6
2020-09-20,41838,608,845,3,845,3
2020-09-21,42476,609,638,1,638,1
2020-09-22,42596,613,120,4,120,4
2020-09-23,42660,617,64,4,64,4
2020-09-24,43842,627,1182,10,1182,10
2020-09-25,44905,635,1063,8,1063,8
2020-09-26,45413,642,508,7,508,7
2020-09-27,46304,644,891,2,891,2
2020-09-28,47422,648,1118,4,1118,4
2020-09-29,48467,654,1045,6,1045,6
2020-09-30,48755,661,288,7,288,7
2020-10-01,49067,665,312,4,312,4
2020-10-02,49747,673,680,8,680,8
2020-10-03,50375,681,628,8,628,8
2020-10-04,50675,686,300,5,300,5
2020-10-05,51305,695,630,9,630,9
2020-10-06,51737,696,432,1,432,1
2020-10-07,51768,705,31,9,31,9
2020-10-08,52294,715,526,10,526,10
2020-10-09,52892,720,598,5,598,5
2020-10-10,53364,728,472,8,472,8
2020-10-11,53671,730,307,2,307,2
2020-10-12,54234,735,563,5,563,5
2020-10-13,54540,738,306,3,306,3
2020-10-14,55516,742,976,4,976,4
2020-10-15,56085,743,569,1,569,1
2020-10-16,56412,758,327,15,327,15
2020-10-17,56650,761,238,3,238,3
2020-10-18,57293,766,643,5,643,5
2020-10-19,57950,768,657,2,657,2
2020-10-20,58643,769,693,1,693,1
2020-10-21,58830,774,187,5,187,5
2020-10-22,59037,783,207,9,207,9
2020-10-23,60984,791,1947,8,1947,8
2020-10-24,61280,794,296,3,296,3
2020-10-25,62503,801,1223,7,1223,7
2020-10-26,63135,804,632,3,632,3
2020-10-27,63497,808,362,4,362,4
2020-10-28,63587,813,90,5,90,5
2020-10-29,64798,814,1211,1,1211,1
2020-10-30,65743,820,945,6,945,6
2020-10-31,66128,822,385,2,385,2
2020-11-01,66661,832,533,10,533,10
2020-11-02,68172,839,1511,7,1511,7
2020-11-03,68943,842,771,3,771,3
2020-11-04,69020,850,77,8,77,8
2020-11-05,69416,855,396,5,396,5
2020-11-06,70519,862,1103,7,1103,7
2020-11-07,71532,862,1013,0,1013,0
2020-11-08,72166,872,634,10,634,10
